,Player,Team,GP,MIN,PTS,FGM,FGA,FG_PCT,3PM,3PA,3P_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
149,Cam Reddish,NYK,19,22.6,8.8,3.2,6.9,46.2,0.9,2.8,31.5,1.5,1.7,87.9,0.4,1.3,1.6,1.0,0.8,0.4,0.6,8.1
150,Brandon Clarke,MEM,21,18.9,8.8,3.6,6.0,59.1,0.0,0.3,16.7,1.6,2.2,73.9,1.1,3.3,4.4,1.3,0.3,1.0,1.1,11.6
151,AJ Griffin,ATL,18,17.8,8.8,3.4,7.3,47.0,1.5,3.9,38.0,0.4,0.4,100,0.8,1.2,1.9,0.7,0.9,0.1,0.7,7.9
152,Grant Williams,BOS,21,28.3,8.8,3.0,5.9,52.0,1.6,3.7,44.2,1.0,1.2,84.6,0.8,3.8,4.6,2.0,0.6,0.4,0.8,12.6
153,Monte Morris,WAS,19,27.1,8.7,3.4,7.8,43.9,1.1,3.0,36.8,0.8,1.1,71.4,0.4,3.3,3.7,5.1,0.8,0.2,0.8,13.0
154,Jeremiah Robinson-Earl,OKC,21,20.6,8.5,3.2,6.6,49.3,1.2,3.1,40.0,0.8,1.0,72.7,1.6,3.2,4.9,1.0,0.8,0.5,0.5,11.4
155,John Konchar,MEM,20,27.5,8.4,3.1,6.6,47.3,1.7,4.2,41.0,0.5,0.6,90.9,1.5,5.1,6.6,1.6,1.0,0.4,0.8,13.6
156,Jose Alvarado,NOP,21,20.8,8.4,3.2,7.1,45.6,1.3,3.6,35.5,0.6,0.8,81.3,0.4,2.0,2.4,3.3,1.1,0.2,1.5,10.0
157,Ben Simmons,BKN,17,28.1,8.4,3.6,5.9,61.4,0.0,0.1,0.0,1.1,1.9,54.5,1.0,5.6,6.6,5.8,1.2,0.7,2.3,17.3
158,Damion Lee,PHX,21,21.0,8.3,2.7,5.9,46.0,2.0,4.0,49.4,0.9,1.0,90.5,0.7,2.8,3.4,1.3,0.4,0.0,0.7,9.5
159,Jarred Vanderbilt,UTA,22,24.8,8.3,3.5,5.9,59.2,0.4,1.0,36.4,0.9,1.5,62.5,2.5,5.9,8.4,2.7,1.1,0.3,1.6,16.3
160,Shaedon Sharpe,POR,21,20.3,8.2,3.3,6.9,48.3,1.0,2.5,38.5,0.6,1.0,65.0,0.7,1.6,2.3,0.5,0.2,0.2,0.8,6.9
161,Mo Bamba,ORL,19,18.7,8.2,3.0,6.3,47.9,1.1,2.9,35.7,1.2,1.6,71.0,1.2,3.4,4.5,1.2,0.3,0.8,0.9,10.3
162,Obi Toppin,NYK,22,17.5,8.2,3.1,7.1,43.6,1.5,4.0,37.1,0.5,0.6,84.6,0.6,3.1,3.7,1.0,0.4,0.2,0.8,8.7
